AAV2020;LOG_SOCIAUX;LOG_TOTAL;PCT_SOCIAUX
105;3660.56705;56414.88648;6.49
152;2103.50616;32388.68049;6.49
279;1141.28487;17579.16687;6.49
607;164.38899;2536.55448;6.48
320;678.22005;10568.79469;6.42
348;716.88726;11254.50907;6.37
559;205.26251;3224.71347;6.37
186;2302.05099;36158.19867;6.37
350;895.79786;14113.93367;6.35
427;727.06386;11475.99009;6.34
370;578.18191;9125.16445;6.34
587;414.38233;6571.93423;6.31
462;336.62281;5350.3342;6.29
351;708.14808;11281.0447;6.28
544;233.06256;3714.41102;6.27
137;2693.75678;42949.49082;6.27
570;197.9692;3161.94714;6.26
337;544.70879;8722.3167;6.25
443;463.37047;7431.75677;6.24
402;401.15153;6432.39934;6.24
395;1398.72909;22412.73884;6.24
115;3076.61771;49484.98656;6.22
072;7157.97143;115162.04093;6.22
087;4830.0184;77735.75506;6.21
235;1618.95992;26395.72728;6.13
289;718.49534;11782.20757;6.1
458;549.97392;9027.0925;6.09
206;1562.97515;25713.83332;6.08
577;213.3289;3514.9827;6.07
120;2657.10563;43861.68611;6.06
398;804.35163;13319.55337;6.04
498;260.91026;4328.31491;6.03
514;321.9666;5379.28677;5.99
321;621.73091;10398.09971;5.98
360;549.47069;9203.91679;5.97
214;1373.68139;23105.44285;5.95
636;167.13761;2820.63702;5.93
310;691.4685;11686.85178;5.92
381;495.32753;8383.2994;5.91
301;725.49432;12289.85696;5.9
437;345.18112;5851.44294;5.9
247;1914.82145;32490.53137;5.89
311;701.2558;11932.5925;5.88
447;327.8254;5576.57989;5.88
333;608.26501;10405.81477;5.85
335;571.90647;9775.289;5.85
635;153.27702;2635.06999;5.82
407;459.91056;7938.41062;5.79
098;4250.42063;73489.05937;5.78
649;122.33514;2121.37582;5.77
463;638.38202;11054.7558;5.77
309;863.88017;15066.04336;5.73
593;158.71966;2771.7147;5.73
478;395.85065;6915.85429;5.72
306;696.41065;12218.69646;5.7
238;2690.80837;47411.07793;5.68
379;428.52004;7556.26545;5.67
547;209.29981;3689.78241;5.67
614;143.89978;2543.17033;5.66
305;810.0791;14437.16833;5.61
173;1324.00316;23692.34944;5.59
406;454.40574;8144.91676;5.58
106;2988.98956;53625.87567;5.57
376;468.28372;8422.55593;5.56
672;105.06967;1890.41592;5.56
275;978.94278;17628.69718;5.55
219;1030.43753;18717.16064;5.51
574;210.41666;3830.66371;5.49
548;218.76921;4004.25772;5.46
530;243.47485;4460.74684;5.46
202;1054.03413;19352.49642;5.45
229;990.6717;18205.95779;5.44
551;231.44948;4261.16579;5.43
611;136.99595;2531.94361;5.41
129;2315.75001;42888.38234;5.4
207;1192.28777;22115.84361;5.39
568;180.95693;3382.19359;5.35
181;1394.73651;26072.7747;5.35
373;429.78581;8031.10684;5.35
246;912.40966;17199.78474;5.3
113;3139.40641;59378.8062;5.29
121;2105.28312;39858.25987;5.28
650;106.43338;2048.30742;5.2
445;313.58058;6032.31131;5.2
143;2285.84083;44080.49933;5.19
522;287.72896;5571.58846;5.16
518;354.08288;6904.39005;5.13
513;574.95336;11253.39171;5.11
241;829.0779;16293.30196;5.09
490;314.55385;6196.05939;5.08
368;395.82713;7786.25507;5.08
664;117.63217;2321.71606;5.07
421;352.73606;7014.3944;5.03
383;569.79181;11346.18166;5.02
127;1883.09517;37771.38996;4.99
387;314.93864;6328.42548;4.98
651;106.28322;2148.8896;4.95
438;272.65276;5504.59641;4.95
597;143.53771;2907.32602;4.94
419;478.96575;9719.38683;4.93
519;260.7778;5337.21738;4.89
670;100.5019;2059.44455;4.88
290;1294.39238;26811.8383;4.83
158;1386.02432;28686.48101;4.83
677;65.92947;1369.33105;4.81
500;233.05676;4855.37036;4.8
654;126.60568;2641.57909;4.79
411;308.47492;6436.60912;4.79
509;217.77983;4579.27618;4.76
175;1266.61708;27136.78348;4.67
199;1079.74026;23216.69713;4.65
292;801.25259;17275.90739;4.64
617;285.13741;6165.73741;4.62
646;109.55835;2369.69294;4.62
404;418.77166;9213.7705;4.55
662;81.83765;1805.72383;4.53
092;4922.22148;108965.27892;4.52
325;593.73739;13131.5909;4.52
486;268.8758;5942.68592;4.52
103;2928.87026;65371.31326;4.48
188;1184.65495;26419.44479;4.48
543;211.85805;4744.98305;4.46
339;444.17735;9984.88383;4.45
541;163.35976;3696.42655;4.42
641;117.10422;2650.33028;4.42
583;171.62613;3888.37434;4.41
390;386.6504;8802.18188;4.39
324;585.91263;13378.60074;4.38
293;486.22615;11143.24516;4.36
369;348.02112;7986.35193;4.36
515;265.8774;6112.34672;4.35
591;162.18341;3744.92272;4.33
391;341.67294;7919.26453;4.31
474;205.07005;4783.50497;4.29
296;676.11882;15831.08487;4.27
329;415.51742;9761.62994;4.26
412;400.64057;9417.19035;4.25
533;202.33121;4761.06152;4.25
366;360.57145;8528.31263;4.23
254;837.10044;19778.63773;4.23
323;557.03618;13240.10035;4.21
349;821.5021;19753.69564;4.16
532;194.61259;4697.73799;4.14
327;488.69462;11837.26831;4.13
517;170.96646;4147.36263;4.12
558;180.55702;4389.78309;4.11
281;676.20142;16526.71754;4.09
408;828.83567;20283.63722;4.09
531;210.3368;5193.64126;4.05
MON;2723.35666;67321.85011;4.05
655;87.36671;2164.3458;4.04
645;186.56404;4635.53999;4.02
592;165.28239;4136.6948;4.0
569;176.04985;4432.97719;3.97
609;132.0328;3331.67285;3.96
631;104.02904;2634.2729;3.95
456;226.00966;5749.06006;3.93
682;29.9165;762.55067;3.92
503;269.2217;6892.36982;3.91
430;525.27941;13574.20169;3.87
253;685.52821;18002.9696;3.81
388;348.77015;9165.92084;3.81
666;63.76403;1677.65873;3.8
444;615.23504;16179.30025;3.8
226;854.00421;22494.7816;3.8
460;218.21263;5758.19619;3.79
468;294.13836;7808.70033;3.77
139;2185.85466;58548.6311;3.73
440;227.34774;6116.80933;3.72
396;275.41634;7416.31624;3.71
154;1238.58908;33379.44364;3.71
9A3;154.3927;4177.73777;3.7
459;250.20146;6772.24769;3.69
334;386.64005;10540.7661;3.67
521;229.91159;6338.06731;3.63
353;525.38965;14525.16765;3.62
656;82.39225;2280.8198;3.61
601;120.49493;3375.34263;3.57
488;225.17714;6353.49133;3.54
180;934.84856;26520.27961;3.53
313;385.6557;10973.14066;3.51
393;359.8609;10312.41598;3.49
431;209.10596;5990.29446;3.49
382;329.53611;9466.00386;3.48
667;67.20532;1942.7736;3.46
255;574.30992;16674.22118;3.44
385;285.44968;8341.19601;3.42
233;819.44013;23939.70442;3.42
575;133.99229;3946.38088;3.4
527;143.29232;4221.68283;3.39
642;73.80424;2185.6402;3.38
469;229.22841;6837.67298;3.35
471;245.1259;7318.9489;3.35
363;409.15075;12295.47004;3.33
525;133.57854;4026.05461;3.32
600;114.27726;3453.63404;3.31
594;130.88083;3964.74804;3.3
312;437.27555;13373.32221;3.27
605;155.1716;4871.66137;3.19
616;103.36546;3284.01;3.15
405;281.09631;9007.58903;3.12
673;44.47824;1432.0201;3.11
467;260.16405;8440.73382;3.08
567;384.28638;12513.80703;3.07
485;161.39369;5298.2107;3.05
477;177.10354;5819.06663;3.04
195;827.28737;27201.95415;3.04
371;751.00342;24926.14188;3.01
344;1013.8319;33794.66445;3.0
266;635.84883;21198.9632;3.0
566;233.18845;7799.85229;2.99
340;350.73247;11863.36035;2.96
439;225.14828;7704.95023;2.92
245;568.86898;19536.8603;2.91
555;155.02856;5364.70124;2.89
657;52.78495;1850.04084;2.85
359;316.69991;11195.45226;2.83
492;376.82032;13436.23552;2.8
483;138.43689;4992.38846;2.77
599;126.01115;4565.41084;2.76
434;237.4651;8633.22797;2.75
497;205.56232;7497.42362;2.74
540;208.61041;7832.91565;2.66
425;216.11541;8126.9598;2.66
166;1933.04557;73509.15501;2.63
377;218.72672;8424.71899;2.6
546;143.68602;5598.8718;2.57
542;128.56649;5029.09498;2.56
579;95.79395;3781.94649;2.53
549;312.2824;12405.77205;2.52
675;38.63448;1540.66206;2.51
314;416.91008;16661.18702;2.5
506;149.38335;5971.83447;2.5
455;256.65691;10399.82799;2.47
315;309.20092;12914.40116;2.39
302;681.82692;28624.96218;2.38
316;751.917;31677.75091;2.37
271;432.31188;18458.79798;2.34
501;96.28265;4133.60272;2.33
355;225.60142;9938.31803;2.27
615;53.43649;2361.30889;2.26
131;1470.63415;69946.18924;2.1
410;196.71229;9443.26199;2.08
231;714.29553;34759.10043;2.05
170;610.64024;30195.98944;2.02
502;92.28991;4659.93678;1.98
331;283.54683;14477.78174;1.96
538;70.22395;3771.44934;1.86
661;39.23712;2145.93588;1.83
9D7;60.86585;3343.1303;1.82
192;868.63779;49292.30833;1.76
414;178.81421;10329.64592;1.73
632;106.9332;6216.86277;1.72
526;71.47906;4195.02266;1.7
453;294.85443;17910.5314;1.65
384;458.17291;28112.17109;1.63
284;328.4907;20170.04242;1.63
386;133.18364;9034.24791;1.47
298;387.59104;27241.14759;1.42
564;186.65173;13542.97878;1.38
681;94.71083;6887.87565;1.38
578;143.48934;10473.8014;1.37
598;52.77052;3873.10619;1.36
354;137.63424;10374.18761;1.33
639;34.90883;2651.23419;1.32
528;76.26412;5840.64916;1.31
495;129.3434;10456.10992;1.24
361;119.81679;9750.89288;1.23
464;114.96178;9355.46651;1.23
669;18.08949;1551.47279;1.17
606;35.7409;3096.2077;1.15
537;43.1773;3935.23091;1.1
621;36.00041;3412.23383;1.06
523;47.27485;4824.85267;0.98
550;146.52599;15862.31546;0.92
CHA;2.0126;231.87315;0.87
529;105.66156;12173.56331;0.87
618;40.09226;4757.45512;0.84
